"Plant" "Parent.Genotype" "Stolon" "Label" "Row" "Column" "Pollination" "Herbivory" "HCN" "Glycosides.Ac" "Linamarase.Li" "Prop.mass" "Flower.date" "Mammal.herb" "Status" "Leaf.avg.dmg.1" "Leaf.avg.dmg.2" "Leaf.avg.dmg.3" "Avg.Bnr.Wdth" "Avg.Bnr.Ht" "Avg.bnr.dmg" "Bag.Inf.Wht" "Bag.Seed.Num" "Bag.Seed.Wht" "Biomass.plant" "Num.flwrs" "Total.Seed.mass" "Total.Inf" "Seeds.Inf" "Seed.only" "Block"
"58" 6 "170-4" 3 "6-3" 16 7 "Open" "Reduced" 1 1 1 0.3358 50 1 "ALIVE" 3.6 2.4 0.2 3.53 7.01 NA 0.105 81 0.044 58.25 81 1.19266593754331 17 0.0701568198554891 0.815032121738975 "D"
"59" 6 "170-4" 4 "6-4" 11 5 "Open" "Ambient" 1 1 1 0.2635 24 NA "ALIVE" 6 13.2 6 3.19 6.01 36 0.084 43 0.018 16.11 48.5 1.57133301354331 22 0.0714242278883325 1.07380184146509 "A"
"60" 6 "170-4" 5 "6-5" 19 32 "Supp" "Reduced" 1 1 1 0.5407 38 NA "ALIVE" 3.4 0.2 0.6 NA NA 0 NA NA NA 5.81 55 0.362161824 4 0.090540456 0.24749052566688 "F"
"61" 6 "170-4" 6 "6-6" 7 19 "Supp" "Reduced" 1 1 1 0.5221 59 1 "ALIVE" 21 2.6 3.8 3.43 6.37 NA NA NA NA 20.18 58.5 3.370324016 35 0.0962949718857143 2.30317832281392 "B"
"62" 6 "170-4" 9 "6-9" 21 27 "Open" "Reduced" 1 1 1 0.3676 23 NA "ALIVE" 2 1.2 3.2 3.4 6.87 0 NA NA NA 48.51 78 0.330691488 8 0.041336436 0.22598464215456 "F"
"63" 6 "170-4" 10 "6-10" 20 34 "Supp" "Reduced" 1 1 1 0.3343 29 1 "ALIVE" 0 0 2.4 3.45 6.42 6.8 NA NA NA 14.44 67 4.623439266 51 0.0906556718823529 3.15951969120642 "F"
"64" 6 "170-4" 11 "6-11" 8 11 "Supp" "Ambient" 1 1 1 0.3008 49 1 "ALIVE" 10.2 24.8 13.8 NA NA NA NA NA NA 5.66 NA 0.06010454 1 0.06010454 0.0410736394998 "A"
"65" 7 "89-5" 7 "7-7" 9 22 "Supp" "Ambient" 0 0 0 0.3306 22 NA "ALIVE" 19.4 9 12.8 3.15 5.56 5.6 0.095 70 0.027 7.14 54.5 0.471937316865819 26 0.01815143526407 0.322507804226595 "B"
"66" 7 "89-5" 11 "7-11" 10 23 "Open" "Ambient" 0 0 0 0.2897 48 NA "ALIVE" 7.2 5 3 3.06 5.72 0.8 NA NA NA 7.36 52.5 1.633997234 48 0.0340416090416667 1.11662468979858 "B"
"67" 7 "89-5" 12 "7-12" 11 17 "Supp" "Reduced" 0 0 0 0.2527 14 NA "ALIVE" 5 0 7.4 2.76 5.33 11 0.028 24 0.01 6.35 43.5 1.34026852486582 77 0.0174060847385171 0.915899301837555 "B"
"68" 7 "89-5" 13 "7-13" 18 9 "Supp" "Ambient" 0 0 0 0.3226 83 1 "ALIVE" 33 0.4 4.6 NA NA NA NA NA NA 1.07 47 0.11844144 2 0.05922072 0.0809393268528 "D"
"69" 7 "89-5" 14 "7-14" 3 18 "Supp" "Ambient" 0 0 0 0.3879 22 NA "ALIVE" 8.6 2.8 11.6 3.06 5.31 94 NA NA NA 8.77 44 0.989626596 58 0.0170625275172414 0.67628112690852 "B"
"70" 7 "89-5" 1 "7-1" 23 7 "Open" "Ambient" 0 0 0 0.2503 19 1 "ALIVE" 42 2.6 25.6 NA NA NA NA NA NA 4.5 36 0.081588716 3 0.0271962386666667 0.05575528085292 "D"
"71" 7 "89-5" 2 "7-2" 13 36 "Open" "Reduced" 0 0 0 0.3052 15 NA "ALIVE" 17.2 0.4 3 2.9 6.19 11 NA NA NA 5.43 42 3.340671502 69 0.0484155290144928 2.28291468432174 "F"
"72" 7 "89-5" 3 "7-3" 10 35 "Supp" "Reduced" 0 0 0 0.254 46 1 "ALIVE" 13.8 13.2 4 3.31 5.43 0 NA NA NA 2.84 47 0.140805404 7 0.0201150577142857 0.09622218893148 "C"
