"Genotype" "HCN" "Herbivory" "Pollination" "Glycosides.Ac" "Linamarase.Li" "Flwr.date" "Bnr.wdth" "Bnr.ht" "Biomass" "Infl" "Flwrs" "AF.Seeds" "RF.Seed" "Flwr.date.T" "Bnr.wdth.T" "Bnr.ht.T" "Biomass.T" "Infl.T" "Flwrs.T" "Flwr.date.S" "Bnr.wdth.S" "Bnr.ht.S" "Biomass.S" "Infl.S" "Flwrs.S" "AF.Seeds.S"
"78" "16-8" "Yes" "Ambient" "Supp" "Yes" "Yes" 31 2.73 5.08333333333333 16.0175 13 53.75 0.916158763630481 0.237730008535537 5.56776436283002 1.28540700332067 0.0386992743886052 2.0005466508388 2.35133468772076 3.77392115714379 -0.152736056508598 -1.8102701494393 3.21791368123918 -1.02737878104576 -0.499281638772663 -0.588475346841532 -0.600348176390273
"79" "16-8" "Yes" "Reduced" "Open" "Yes" "Yes" 23.25 3.07 6.0325 40.365 36.75 54.25 1.49158622719205 1.02592799060489 4.82182538049648 1.32368483665619 0.02747927933529 2.52058437180036 3.32469988057549 3.78558713909543 -0.773486225218551 -0.54183586756549 0.290512677799621 0.382741347896754 0.257893238254072 -0.541371194652543 0.397754370760008
"80" "16-8" "Yes" "Reduced" "Supp" "Yes" "Yes" 38.5 3.0675 6.035 26.795 20.5 56.125 1.12194893445905 0.436607364094445 6.20483682299543 1.32341527451277 0.0274565174565106 2.27516784052537 2.73685183739921 3.82870687392763 0.37741834820022 -0.550768501260216 0.284573892045946 -0.282723438169586 -0.199390187401391 -0.367265100514479 -0.243396680868697
"81" "17-1" "Yes" "Ambient" "Open" "Yes" "Yes" 34.5 3.2675 5.9725 58.3775 31.5 86.25 1.57068952530449 1.19796140826057 5.87367006223537 1.34447861576617 0.0280341687457215 2.76414851232965 3.15817979882819 4.41827796120181 0.101830361137469 0.147219389079344 0.435288482884781 1.04318324163838 0.128358277126373 2.01326714583345 0.534962287193722
"82" "17-1" "Yes" "Ambient" "Supp" "Yes" "Yes" 37.25 3.335 5.935 29.8825 14.75 75.6666666666667 1.22935014748727 0.574379033063955 6.10327780786685 1.35136902316687 0.0283895529284179 2.33805235575366 2.45243406576201 4.2296217839003 0.292903693157173 0.375550728695858 0.528011519578501 -0.112207498367694 -0.420637046077341 1.25152335745443 -0.0571048698609296
"83" "17-1" "Yes" "Reduced" "Open" "Yes" "Yes" 35.75 3.2975 5.605 25.8025 24 80.375 1.42998566703544 0.90399668656451 5.9791303715507 1.34755407302768 0.0318308888536981 2.25380037430747 2.88449914061482 4.31559149607922 0.189591567281842 0.24913256135166 1.42588805098225 -0.340662877952234 -0.0845362461712492 1.59864633629209 0.2909056715032
"84" "17-1" "Yes" "Reduced" "Supp" "Yes" "Yes" 46.5 3.4325 5.9225 44.7675 37.25 79.5 1.72169081439592 1.57774667076676 6.81909084849293 1.3611394973936 0.0285095171004538 2.58666812012847 3.33971001581969 4.29987380195704 0.888583871103331 0.699320476861049 0.559311287174303 0.561932241090293 0.269569531377262 1.53518244109149 0.796880219181693
"85" "170-4" "Yes" "Ambient" "Open" "Yes" "Yes" 26.5 3.485 6.17 19.445 26 54.625 1.3636656388849 0.783962840056018 5.1478150704935 1.36631455758162 0.026268161149915 2.09991631072999 2.96249606840737 3.79428966889091 -0.502206455886328 0.870809382612525 -0.0254793145589631 -0.75793071608684 -0.0238629093359923 -0.506232679128099 0.175870861356287
"86" "170-4" "Yes" "Ambient" "Supp" "Yes" "Yes" 34.3333333333333 NA NA 10.7775 1.25 NA 0.342072308958578 0.0123744396655711 5.85946527708232 NA NA 1.81188032006418 1.07721734501594 NA 0.090009524595773 NA NA -1.53896126815285 -1.49040978816821 NA -1.59612468859561
"87" "170-4" "Yes" "Reduced" "Open" "Yes" "Yes" 32.75 3.505 6.82 43.6075 18.25 73.375 0.974042617844441 0.285696988711139 5.7227615711298 1.36827063210642 0.0214996431059244 2.5697465836909 2.63281871408572 4.18648337985296 -0.0237515879657853 0.93562893400706 -1.26962999738596 0.516048263483592 -0.280316922741679 1.07734188195931 -0.499946256099155
"88" "170-4" "Yes" "Reduced" "Supp" "Yes" "Yes" 54 3.44 6.395 11.225 22.5 60.1666666666667 1.27833549848243 0.645812330300624 7.34846922834953 1.36188241015851 0.0244522542227515 1.83040244578896 2.82310808664309 3.91848916741639 1.32911818609433 0.723938798676544 -0.499266311386621 -1.48873717620235 -0.132291974527692 -0.0047479258863479 0.0278622314635525
"89" "172-4" "Yes" "Ambient" "Open" "Yes" "Yes" 37.5 3.25 7.06 41.4875 35.5 55.5 1.50758009839165 1.05928536521203 6.12372435695795 1.34267480714133 0.0200627563017118 2.53792811209027 3.28656922572121 3.81444181292656 0.309918756183009 0.0874455592065756 -1.64452712100264 0.42977016197727 0.228231633224251 -0.424863647054779 0.425496396634666
"90" "172-4" "Yes" "Ambient" "Supp" "Yes" "Yes" 7 3.32333333333333 6.98666666666667 55.74 35.5 53.6666666666667 1.46014677016288 0.962412647406362 2.64575131106459 1.35018561261654 0.0204861313443273 2.73238404730595 3.28656922572121 3.7719698014923 -2.5843559849668 0.336335381829107 -1.53406463695568 0.957051582896041 0.228231633224251 -0.596354405283703 0.343221342482883
"91" "172-4" "Yes" "Reduced" "Open" "Yes" "Yes" 29.5 3.085 6.5 35.18 54 54.375 1.73363238933214 1.61080445487968 5.43139024560011 1.32529876142137 0.0236686390532544 2.43542050794822 3.77976314968462 3.78849242583755 -0.266222894283604 -0.488354326889401 -0.703718793103028 0.151813332801289 0.611884193916398 -0.529640414558685 0.817593370909037
"92" "172-4" "Yes" "Reduced" "Supp" "Yes" "Yes" 19.5 3.4275 7.1425 22.54 14.5 44.375 0.981579315284303 0.292380213648069 4.41588043316392 1.3606435455906 0.0196019601470098 2.17890591540518 2.43849948053666 3.54034937554251 -1.11130258890466 0.682885840564851 -1.76475312103613 -0.543744654114757 -0.431476675367433 -1.53157647567998 -0.486873545135261
"93" "173-1" "Yes" "Ambient" "Open" "Yes" "Yes" 23.25 3.06 5.83 26.925 25 64 1.17700159867388 0.504084035456301 4.82182538049648 1.32260559822405 0.0294213699178261 2.27792241431701 2.92401773821287 4 -0.773486225218551 -0.577599203845408 0.797222163238025 -0.275254210854566 -0.0537949689032446 0.324371275479284 -0.147905575803731
"94" "173-1" "Yes" "Ambient" "Supp" "Yes" "Yes" 28 2.99666666666667 5.63 17.1625 17.5 56.75 1.16833965786001 0.493036578412166 5.29150262212918 1.3157082844156 0.0315488265413968 2.03537828849958 2.59624705092555 3.84286642170832 -0.382633576560004 -0.806159405014373 1.35229537182868 -0.932930260467922 -0.308765797592801 -0.310092588474447 -0.162930067572124
"95" "173-1" "Yes" "Reduced" "Open" "Yes" "Yes" 37.25 3.1425 6.37 22.6 44 54.5 1.55829295549116 1.16982017574934 6.10327780786685 1.33143148157297 0.0246445637788988 2.18035449631519 3.53034833532606 3.79139326343789 0.292903693157173 -0.285130899554003 -0.449090960598883 -0.539816721548951 0.417865923305431 -0.517927598923577 0.513459928182158
"96" "173-1" "Yes" "Reduced" "Supp" "Yes" "Yes" 39.75 2.965 6.145 19.07 21.5 59.5 1.28604244146005 0.657563485613337 6.30476010645925 1.31221855488034 0.0264823319811896 2.08971795038938 2.78064888326062 3.90396266088985 0.460571791762286 -0.921800552677718 0.0303998461181566 -0.785584312391185 -0.165320731191453 -0.0634021203671013 0.0412302402983954
"97" "175-2" "Yes" "Ambient" "Open" "Yes" "Yes" 33.25 2.99 5.785 27.0275 51 60.75 1.7536303198919 1.66719316971671 5.7662812973354 1.31497591102615 0.0298808724318324 2.28008726543202 3.70842976926619 3.93111209131334 0.0124643466135088 -0.830428477565158 0.917110640389138 -0.269384059497474 0.55639439014828 0.046220104989826 0.85228060204307
"98" "175-2" "Yes" "Ambient" "Supp" "Yes" "Yes" 29.25 3.0125 5.7775 21.2325 47.25 62.5 1.61755382006776 1.30842250109226 5.40832691319598 1.3174427865266 0.029958501857708 2.14659583904043 3.61521339626284 3.9685026299205 -0.285415573336368 -0.748682224414976 0.937364879194482 -0.631355777718175 0.48388193923694 0.197193218807488 0.616250329450353
"99" "175-2" "Yes" "Reduced" "Open" "Yes" "Yes" 38.75 3.165 5.9775 25.355 65.5 57.875 1.90307213060779 2.13077470799401 6.22494979899437 1.33380833985461 0.0279872888730761 2.24396409550475 4.03100898945729 3.86809383834539 0.394155820755337 -0.206367598058584 0.423057088345726 -0.367334663814162 0.807326808086127 -0.208230946862654 1.11149355479836
"100" "175-2" "Yes" "Reduced" "Supp" "Yes" "Yes" 31 3.0825 5.84 16.7825 39 62.875 1.4983277660782 1.0399016521489 5.56776436283002 1.32503018328185 0.0293206980671796 2.02401703766344 3.39121144301417 3.97642381387246 -0.152736056508598 -0.497254353088474 0.77095594162203 -0.963737118986546 0.309632179075103 0.229176866299572 0.409447846584637
"101" "28-2" "No" "Ambient" "Open" "No" "Yes" 25 3.225 5.45 44.46 1 NA 0.326872816335172 0.0107971267571815 5 1.340085258335 0.0336671997306624 2.58221479185366 1 NA -0.625214144343191 0.00163421111561539 1.90499862797524 0.54985671735814 -1.55047669229214 NA -1.622488832234
"102" "28-2" "No" "Ambient" "Supp" "No" "Yes" 28 3.155 5.895 50.1925 2 47.5 0.489306251342091 0.0362171338469237 5.29150262212918 1.33275352816384 0.0287761296249535 2.66170369147283 1.25992104989487 3.62157822172087 -0.382633576560004 -0.241321491550188 0.628872973078911 0.765396653909708 -1.34828568481055 -1.20359586089907 -1.34074137405863
"103" "28-2" "No" "Reduced" "Open" "No" "Yes" 70 NA NA 26.3125 3.25 52.6666666666667 0.515607728224641 0.0423769835430394 8.36660026534076 NA NA 2.26485565371632 1.48124803420369 3.74839437435085 2.17637919262333 NA NA -0.310685683227441 -1.17611676675501 -0.691545749878172 -1.29512038317334
"104" "28-2" "No" "Reduced" "Supp" "No" "Yes" 29.25 3.04 5.96666666666667 46.6375 17.5 52 1.1991718823528 0.533109099735224 5.40832691319598 1.32043916081593 0.0280890109547143 2.61326718794047 2.59624705092555 3.73251115681725 -0.285415573336368 -0.649389669463118 0.449597324989738 0.634057549353432 -0.308765797592801 -0.755677984871782 -0.109450309046013
"105" "30-2" "No" "Ambient" "Open" "No" "Yes" 17.5 3.7775 7.1275 72.2075 106 71.5 1.72974236840205 1.59998552903838 4.18330013267038 1.39412308371882 0.019684552584268 2.9150471063509 4.73262349116337 4.1505152502947 -1.30484960037513 1.79231629162788 -1.74320398642801 1.45235576178761 1.35310847148362 0.932112079985597 0.810845969985974
"106" "30-2" "No" "Ambient" "Supp" "No" "Yes" 19.3333333333333 3.8 7.29666666666667 45.5133333333333 86 67.6666666666667 1.76919873190048 1.71199165506968 4.39696865275764 1.39619442376834 0.0187823957196172 2.59737502907138 4.4140049624421 4.07497480339554 -1.12704045910027 1.86095546211565 -1.97858509829921 0.590964803942154 1.10525705140621 0.627099718239045 0.879284651492969
"107" "30-2" "No" "Reduced" "Open" "No" "Yes" 11.75 3.905 7.07 47.915 108.25 64.875 1.85287354744548 1.96656872726167 3.42782730020052 1.40574083121212 0.020006041824631 2.63098197742436 4.76587486372454 4.01814671634287 -1.93353358032264 2.17730018216019 -1.65932445525517 0.682092490328532 1.37897451242569 0.397642920497123 1.02442205249723
"108" "30-2" "No" "Reduced" "Supp" "No" "Yes" 17 3.51 6.8 46.17 129.5 67 2.24005874469075 3.47496158779796 4.12310562561766 1.36875834226481 0.0216262975778547 2.60669349785196 5.0592940632756 4.06154810044568 -1.35494183485186 0.951790462249791 -1.23658466835891 0.616232510242617 1.60722352725411 0.572886239959328 1.6960106645483
"109" "36-2" "No" "Ambient" "Open" "No" "Yes" 43.75 3.4075 6.0475 25.1875 15.5 63.875 1.05512984782746 0.363152895447163 6.61437827766148 1.3586542953222 0.0273431311747412 2.24024886451733 2.49331547611932 3.99739413607028 0.718227627643393 0.616966925731161 0.254990357164634 -0.377408783032567 -0.388835645033613 0.313849485574391 -0.35929712842896
"110" "36-2" "No" "Ambient" "Supp" "No" "Yes" 31 3.33333333333333 6.04 36.2825 23.5 64.5 1.38217189331299 0.816315338649613 5.56776436283002 1.35120015480703 0.027411078461471 2.45428108879547 2.86432715799122 4.0103896570584 -0.152736056508598 0.369954842041159 0.272718435867743 0.202955170449284 -0.100227909048173 0.366321965039673 0.207970719031761
"111" "36-2" "No" "Reduced" "Open" "No" "Yes" 47.3333333333333 3.305 6.05 16.83 17.5 45.3333333333333 1.15866796167972 0.480893360027623 6.87992248018343 1.34831965656138 0.0273205382146028 2.02544767874986 2.59624705092555 3.56565416082624 0.939206303405572 0.274502137295682 0.24909564385455 -0.959857831558064 -0.308765797592801 -1.42940243991891 -0.179706021457016
"112" "36-2" "No" "Reduced" "Supp" "No" "Yes" 43.5 3.34 6.055 15.1575 11.5 58.1666666666667 0.987058233208248 0.297303561180029 6.59545297913646 1.35187524877472 0.0272754362194609 1.97313542683065 2.257178717737 3.87458083106092 0.702478508036399 0.39232581389295 0.237328114082189 -1.10170630994383 -0.57252499647348 -0.182038184574144 -0.477370137178905
"113" "37-5" "Yes" "Ambient" "Open" "Yes" "Yes" 18.75 3.0375 6.4325 50.5275 23 100.5 1.4058916299633 0.859067563283974 4.33012701892219 1.32016760519009 0.0241679831923761 2.66613387354836 2.84386697985157 4.6493119573956 -1.1826642520148 -0.658388362315659 -0.573435265616582 0.777409415037943 -0.116143757468231 2.9461213678489 0.24911357554728
"114" "37-5" "Yes" "Ambient" "Supp" "Yes" "Yes" 65.75 3.03 6.70666666666667 57.29 25.75 89.75 1.43387599023774 0.911394835482169 8.10863737011343 1.31935193127267 0.0222324107047575 2.75118443366971 2.95297029181224 4.47725144969536 1.96170947495778 -0.685417811726205 -1.07844411950287 1.00803019882108 -0.0312729531458032 2.25138650763527 0.297653596729815
"115" "37-5" "Yes" "Reduced" "Open" "Yes" "Yes" 36.25 2.81333333333333 6.12 41.6975 7 85.25 0.861206156852459 0.197466379305484 6.02079728939615 1.29510594806804 0.0266991328121663 2.54113363319007 1.91293118277239 4.40113607028028 0.224265645047925 -1.48887071421719 0.0869651981643746 0.438462165738483 -0.840313064987748 1.94405272032501 -0.695665727725436
"116" "37-5" "Yes" "Reduced" "Supp" "Yes" "Yes" 56.5 3.15 6.2975 57.2575 23.75 85.5 1.45794616270077 0.958067805788108 7.51664818918645 1.33222518176541 0.0252152714400331 2.75079417131313 2.87444853947242 4.40543405745517 1.46907215121141 -0.258829605935746 -0.300188026868845 1.00697197403777 -0.0923545478116883 1.96140685672188 0.339404298541996
"117" "38-4" "No" "Ambient" "Open" "Yes" "No" 35.5 3.19 6.41 36.32 31 49 1.31351450914844 0.700610123445953 5.95818764390649 1.33643447648928 0.024337946996819 2.454915002465 3.14138065239139 3.65930571002297 0.17216359793545 -0.119343818339975 -0.529090129160603 0.204674073500726 0.115290323052394 -1.05126223325783 0.0888816689694438
"118" "38-4" "No" "Ambient" "Supp" "Yes" "No" 32.3333333333333 2.98 5.91333333333333 20.9825 10.5 53 0.944707411074933 0.260653614807406 5.68624070307733 1.31387505119901 0.0285979747549789 2.14024902533734 2.18975956994394 3.75628575422107 -0.0541432628104028 -0.86690829427897 0.58239071148672 -0.648565624997783 -0.624969942434346 -0.659682443391941 -0.550829375956873
"119" "38-4" "No" "Reduced" "Open" "Yes" "No" 31.5 3 6.015 16.735 7.25 49.75 0.891836873071182 0.219294660899689 5.61248608016091 1.31607401295249 0.0276394079915202 2.02258335645692 1.9354383203139 3.67788118420055 -0.115519857549128 -0.794040050974942 0.332291732665545 -0.9676246499219 -0.822804899270177 -0.976259377409903 -0.642535493569217
"120" "38-4" "No" "Reduced" "Supp" "Yes" "No" 68 2.845 5.38 35.45 14.5 52.75 1.09593541274962 0.406936519698726 8.24621125123532 1.29873506895875 0.0345489973880958 2.44007996972265 2.43849948053666 3.7503703337966 2.07619472366987 -1.36861047611811 2.135067833437 0.164447802520158 -0.431476675367433 -0.683567347816723 -0.288518201690509
"121" "44-4" "Yes" "Ambient" "Open" "Yes" "Yes" 59 3.61666666666667 7.68333333333333 8.6925 15.75 53 0.903555891054654 0.228053557068113 7.68114574786861 1.37904081765049 0.0169395024491697 1.71706278206742 2.50664896748229 3.75628575422107 1.60596255340609 1.29252668332553 -2.45941308293776 -1.79606592328977 -0.378463603011559 -0.659682443391941 -0.622208376008635
"122" "44-4" "Yes" "Ambient" "Supp" "Yes" "Yes" 22 3.93 7.71 52.035 61 52.3333333333333 1.43585129187903 0.915166628001331 4.69041575982343 1.40798535509426 0.0168225273828689 2.68580136198972 3.93649718310217 3.74046962687584 -0.882841743745977 2.25167824357313 -2.4899329650624 0.830739241354436 0.733806647431286 -0.723543785934614 0.301079838479485
"123" "44-4" "Yes" "Reduced" "Open" "Yes" "Yes" 63.5 4.35666666666667 8.31 74.5325 78 55.3333333333333 1.62750619195491 1.3327225121699 7.96868872525461 1.44473629448207 0.0144809799568756 2.93823428609535 4.27265868169792 3.8106197243821 1.84524801233912 3.46951497435037 -3.10086445405881 1.51522948723698 0.995304637321236 -0.440296230546204 0.633513126865805
"124" "44-4" "Yes" "Reduced" "Supp" "Yes" "Yes" 56.6666666666667 4.01666666666667 7.88333333333333 34.7325 30.25 45.8333333333333 1.07979202986956 0.3892173019721 7.52772652709081 1.41568440529931 0.0160908956818294 2.42763847055644 3.11583984218488 3.57871528169824 1.4782912432364 2.50680603861718 -2.68082247665258 0.130711772033665 0.0954222817773978 -1.37666508545843 -0.316519561709858
"125" "47-2" "Yes" "Ambient" "Open" "Yes" "Yes" 31.5 3.16 6.0475 14.7025 33.5 58.5 1.31498966176146 0.702973252218711 5.61248608016091 1.33328124694796 0.0273431311747412 1.95815829646318 3.22365286363346 3.88196803832815 -0.115519857549128 -0.223834174775871 0.254990357164634 -1.14231788897682 0.179289376940101 -0.152210593822707 0.0914403817068836
"126" "47-2" "Yes" "Ambient" "Supp" "Yes" "Yes" 30 3.385 6.41 18.7725 53.75 61.5 1.47895146016378 1.00007724705829 5.47722557505166 1.35640589400718 0.024337946996819 2.08151971313701 3.77392115714379 3.94722338648406 -0.228079977552104 0.542460375624443 -0.529090129160603 -0.807814429372011 0.607339743368786 0.11127325720873 0.375838848905149
"127" "47-2" "Yes" "Reduced" "Open" "Yes" "Yes" 36.5 3.235 6.1475 25.335 99.75 61 2.07522162262454 2.76290044769624 6.04152298679729 1.34112287835996 0.0264607972538985 2.24352145536181 4.63771761510821 3.93649718310217 0.241513007718448 0.0360184146224026 0.0247812355945935 -0.368534914777285 1.27928176640037 0.0679636825321355 1.41009391253773
"128" "47-2" "Yes" "Reduced" "Supp" "Yes" "Yes" 23.75 3.395 6.4925 30.4225 92.75 64.25 1.90963266306332 2.15288726300958 4.87339717240448 1.35740656299755 0.023723353669684 2.34854412889937 4.52659152628377 4.00520156632829 -0.730569580176861 0.57562011173265 -0.689443241083824 -0.0837582918876094 1.19283745623007 0.345373825711607 1.12287306754179
"129" "50-1" "No" "Ambient" "Open" "No" "No" 33.75 2.93666666666667 5.73 24.2425 38.75 45 1.12772926382558 0.4433904511187 5.80947501931113 1.30907239086955 0.0304572547657989 2.2189338278519 3.3839497260535 3.55689330449006 0.0484089893237809 -1.02605677461966 1.06749414900931 -0.43520605626785 0.30398333351636 -1.46477646260093 -0.233370462397326
"130" "50-1" "No" "Ambient" "Supp" "No" "No" 13.5 2.8475 5.5975 26.0675 74.75 46.5 1.64859580059613 1.38520596463096 3.67423461417477 1.29902028585724 0.0319162453888506 2.2595650339806 4.2124723734419 3.5959831740739 -1.72848010363963 -1.35915908192253 1.44815836442429 -0.325031583694297 0.948486073346509 -1.30694189937616 0.670093918427128
"131" "50-1" "No" "Reduced" "Open" "No" "No" 31.75 3.06 6.245 27.57 109.25 47 2.05085429395161 2.66671254673649 5.63471383479232 1.32260559822405 0.0256410092044813 2.29144370149695 4.7805054232343 3.60882608013869 -0.0970225236327178 -0.577599203845408 -0.189109086733359 -0.238590256581431 1.39035553588838 -1.25508563864024 1.36782778108621
"132" "50-1" "No" "Reduced" "Supp" "No" "No" 23.25 2.8775 6.0575 25.8375 61.75 45.75 1.64107404843822 1.36633224699242 4.82182538049648 1.3024283263845 0.0272529270921178 2.25456428206127 3.95256469663525 3.57654504752033 -0.773486225218551 -1.24622490926687 0.231455273527658 -0.338591486480295 0.746305468709099 -1.38542791754795 0.657047130668034
"133" "53-5" "No" "Ambient" "Open" "No" "No" 13.25 3.2875 6.225 35.76 31.75 60.75 1.16694505828108 0.491273131849309 3.64005494464026 1.34653126085022 0.025806035386526 2.44539701379764 3.16651276568146 3.93111209131334 -1.75692349664159 0.215239053889011 -0.146052221858106 0.178865354506117 0.134840441476104 0.046220104989826 -0.165349057766594
"134" "53-5" "No" "Ambient" "Supp" "No" "No" 21.3333333333333 2.83 5.72 20.8175 18.75 60.8333333333333 1.16744052965846 0.491899164252552 4.61880215351701 1.29701980868685 0.0305638417526529 2.13602899358582 2.65664642295653 3.93290876070942 -0.942436642590885 -1.42545002897757 1.09530368464523 -0.660008548227627 -0.261781492600429 0.053474581211118 -0.164489642331763
"135" "53-5" "No" "Reduced" "Open" "No" "No" 32 3.42 6.25 22.85 28 63.3333333333333 1.34854704986788 0.758176108751989 5.65685424949238 1.35989859948847 0.0256 2.1863593851622 3.03658897187566 3.98606260476783 -0.0785978716358816 0.658200138900055 -0.199808769378341 -0.523534028402052 0.0337735106675023 0.268095756722632 0.149647048342885
"136" "53-5" "No" "Reduced" "Supp" "No" "No" 26.75 3.3025 6.2175 44.3525 49 70.125 1.51331547221665 1.07142111811495 5.1720402163943 1.34806460696015 0.0258683311644354 2.5806524878799 3.65930571002297 4.12373698706128 -0.482046947185091 0.266050413946137 -0.129798674339101 0.545620416428165 0.518181082553574 0.823988529655011 0.435444637874599
"137" "65-4" "Yes" "Ambient" "Open" "Yes" "Yes" 34.25 3.11 6.46666666666667 62.075 82 58.125 2.1021095027119 2.87169155888711 5.85234995535981 1.32797560551948 0.0239132745243915 2.80691448736351 4.34448148576861 3.87365544749789 0.0840883470406709 -0.399650225183555 -0.639891124705611 1.15914629546764 1.05117516077857 -0.185774638853519 1.45673204384373
"138" "65-4" "Yes" "Ambient" "Supp" "Yes" "Yes" 32.75 3.0475 6.4625 58.7275 90 61.5 2.08653798044825 2.80834635423295 5.7227615711298 1.32125282403089 0.0239441204089955 2.76828231574356 4.48140474655716 3.94722338648406 -0.0237515879657853 -0.622426849840707 -0.63184314668846 1.0543923504551 1.15768693447947 0.11127325720873 1.42972259952878
"139" "65-4" "Yes" "Reduced" "Open" "Yes" "Yes" 30 3.14 6.56 33.3175 71.5 60.6666666666667 1.86350718012844 2.0006217984801 5.47722557505166 1.33116659914037 0.0232376561570494 2.40252602944015 4.1505152502947 3.92931377812036 -0.228079977552104 -0.293908459015839 -0.816166236869343 0.0626175602532196 0.900290003213444 0.0389589915510135 1.04286652471729
"140" "65-4" "Yes" "Reduced" "Supp" "Yes" "Yes" 30 3.1075 6.415 55.265 91.75 65.75 2.13117047685058 2.99244625355727 5.47722557505166 1.32770864890623 0.0243000226597711 2.72654420730249 4.5102646341047 4.03613098860029 -0.228079977552104 -0.408496517946518 -0.538984941217226 0.941216431700746 1.18013686587749 0.470258659226503 1.50713949595065
"141" "68-2" "Yes" "Ambient" "Open" "Yes" "Yes" 51.5 3.42 6.24 64.16 27 68.25 1.20513655624685 0.541103778269826 7.17635004720366 1.35989859948847 0.0256821170282709 2.83019323683036 3 4.08665101278156 1.18588527661388 0.658200138900055 -0.178383673394133 1.22226831888378 0.00531117147162773 0.67424516610526 -0.0991043374274014
"142" "68-2" "Yes" "Ambient" "Supp" "Yes" "Yes" 48 3.34 6.36 86.47 14.75 76.375 0.942723728335086 0.259015110245829 6.92820323027551 1.35187524877472 0.0247221233337289 3.04941382383798 2.45243406576201 4.24277897209072 0.979384232800471 0.39232581389295 -0.428854951798794 1.81670089551775 -0.420637046077341 1.30464860635932 -0.554270155065894
"143" "68-2" "Yes" "Reduced" "Open" "Yes" "Yes" 33 3.495 6.48 78.1425 10.25 70.1666666666667 0.797981914311475 0.157090864842969 5.74456264653803 1.36729364424179 0.0238149672306051 2.97318426251965 2.17224074288431 4.12455356866422 -0.00560932491448144 0.903253932799127 -0.665540411457378 1.60999889198487 -0.638597731697727 0.827285670372276 -0.805330770702744
"144" "68-2" "Yes" "Reduced" "Supp" "Yes" "Yes" 38.25 3.475 6.605 98.19 16.25 76.25 1.01302463623508 0.32138959111653 6.18465843842649 1.36533336157538 0.0229220975323789 3.14787019093041 2.53289850955044 4.24046304424406 0.360626444409004 0.838294933828566 -0.898498415280722 2.08367250058302 -0.358044243522067 1.29529750173733 -0.432330345645494
"145" "7-3" "Yes" "Ambient" "Open" "Yes" "Yes" 43.3333333333333 3.40333333333333 6.28666666666667 31.2025 16.5 58.6666666666667 1.29474543608798 0.671003756763057 6.58280588604383 1.35823876654152 0.0253022494262012 2.36345505540575 2.54582168482974 3.88565112216764 0.691953940535746 0.603197312756863 -0.277494661784841 -0.0433262294423024 -0.347991383891652 -0.137339274595655 0.0563259415918366
"146" "7-3" "Yes" "Ambient" "Supp" "Yes" "Yes" 43.25 3.43 5.87333333333333 29.3525 12.5 62.5 1.11738235290708 0.431297767030846 6.57647321898295 1.36089158926977 0.0289888309255425 2.32761568011684 2.32079441680639 3.9685026299205 0.686684066940819 0.691105404700272 0.684368719540328 -0.140507303942383 -0.523038730194978 0.197193218807488 -0.251317603951823
"147" "7-3" "Yes" "Reduced" "Open" "Yes" "Yes" 41.5 3.5525 6.415 82.9675 95 63.25 2.37104667812606 4.12090019972531 6.44204936336256 1.37288298208444 0.0243000226597711 3.01805396493819 4.56290263538697 3.98431356434812 0.574820183927279 1.08847099225114 -0.538984941217226 1.73166635572777 1.22108364766135 0.261033593721157 1.92321460993966
"148" "7-3" "Yes" "Reduced" "Supp" "Yes" "Yes" 48.25 3.5425 6.285 64.075 68.5 60.375 2.24633362887386 3.50424580055958 6.9462219947249 1.37191582193365 0.0253156705899627 2.82925540160535 4.09163473846708 3.92300668256222 0.994378959362307 1.05642165757271 -0.273992955404751 1.21972531041514 0.854487210356633 0.0134926064432354 1.70689470864218
"149" "70-4" "No" "Ambient" "Open" "Yes" "No" 36.5 3.42666666666667 6.42666666666667 52.7325 37.75 63.5 1.33278205600599 0.731895700716427 6.04152298679729 1.36056083421089 0.0242118765172776 2.69475688579628 3.35458642604053 3.9895560882429 0.241513007718448 0.680144986645503 -0.561983089144989 0.855022795942569 0.281141800616244 0.282201519783269 0.122302019602052
"150" "70-4" "No" "Ambient" "Supp" "Yes" "No" 36 3.175 6.19 42.8175 29.5 64.125 1.13126957213825 0.447579413914698 6 1.33486065494513 0.026098689584796 2.55802819244749 3.08987330293282 4.00260247308292 0.206958705462891 -0.1714964358262 -0.0696960211997964 0.48427299275783 0.0752230684612522 0.334879374040869 -0.227229652358987
"151" "70-4" "No" "Reduced" "Open" "Yes" "No" 40.5 3.67 6.74666666666667 33.64 51.25 61.5 1.49349728005983 1.02987636911467 6.36396103067893 1.38409696411299 0.0219695667796716 2.40831891575846 3.71447942072328 3.94722338648406 0.509837193581332 1.46007507748364 -1.14702254278989 0.0783253931139324 0.561100377306753 0.11127325720873 0.401069170375706
"152" "70-4" "No" "Reduced" "Supp" "Yes" "No" 35.75 3.465 6.5025 50.5125 63.75 60 1.70415753295586 1.53003371597342 5.9791303715507 1.36435004558897 0.0236504429062788 2.66593597903049 3.99478487022701 3.91486764116886 0.189591567281842 0.805710234058825 -0.708466336988938 0.776872809649913 0.779148285549124 -0.0193706918247156 0.766468023078097
